Bank,Country
HSBC Holdings PLC,UK
BNP Paribas SA,France
Crédit Agricole Group,France
Barclays PLC,UK
Banco Santander SA,Spain
Groupe BPCE,France
Société Générale SA,France
Deutsche Bank AG,Germany
Intesa Sanpaolo SpA,Italy
Lloyds Banking Group PLC,UK
Crédit Mutuel Group,France
UBS Group AG,Switzerland
ING Groep NV,Netherlands
NatWest Group PLC,UK
UniCredit SpA,Italy
La Banque Postale SA ,France
Credit Suisse Group AG,Switzerland
Standard Chartered PLC,UK
Banco Bilbao Vizcaya Argentaria SA,Spain
CaixaBank SA,Spain
Rabobank,Netherlands
DZ Bank AG,Germany
Nordea Bank AbP,Finland
Danske Bank AS,Denmark
Sberbank of Russia,Russia
Commerzbank AG,Germany
ABN AMRO Bank NV,Netherlands
KBC Group NV,Belgium
Nationwide Building Society,UK
Svenska Handelsbanken AB,Sweden
Skandinaviska Enskilda Banken AB,Sweden
Erste Group Bank AG,Austria
DNB Bank ASA,Norway
Landesbank Baden-Württemberg,Germany
Raiffelsen Gruppe Switzerland,Switzerland
Swedbank Ab,Sweden
Bayerische Landesbank,Germany
Banco de Sabadell SA,Spain
VTB Bank PJSC,Russia
Nykredit AS,Denmark
BFA Tenedora de Acciones SAU,Spain
Banco BPM SpA,Italy
Belfius Bank SA,Belgium
Raiffelsen Bank International AG,Austria
Zürcher Kantonalbank,Switzerland
OP Financial Group,Finland
BPER Banca SpA,Italy
Bank of Ireland Group PLC,Ireland
Banca Monte del Paschi di Siena SpA,Italy
AIB Group PLC,Ireland
